TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现,平均距上次下单天数
新用户(0-6月),2150,697,0.3241860465116279,2.496279069767442,159.57244186046512,3.772093023255814
成长用户(7-18月),2478,213,0.08595641646489104,3.085552865213882,175.16394269572237,4.757062146892656
成熟用户(19月+),1002,38,0.03792415169660679,3.654690618762475,220.18828343313373,5.197604790419161
