TenureGroup,用户数,流失人数,流失率,平均订单数,订单数中位数,平均返现,平均App时长,平均满意度,平均使用时长
0-12 months,3734,853,22.844134975897163,2.602838778789502,2.0,161.15962238885913,2.9408141403320838,3.0599892876272095,5.151847884306374
13-24 months,1467,95,6.4758009543285615,3.704839809134288,2.0,204.91599182004092,2.936605316973415,3.087934560327198,17.535787321063395
25-36 months,425,0,0.0,3.56,2.0,222.30204705882352,2.868235294117647,3.063529411764706,27.931764705882355
37+ months,4,0,0.0,2.0,2.0,226.375,3.5,2.0,55.5
